spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
7j31rVgGX9Q2blT92VBEA0,11/11/2023 0:33,android,161920,Teenagers,My Chemical Romance,The Black Parade,trackdone,trackdone,TRUE,FALSE
6DlqxXju2H2mb0NcwgAFRM,11/11/2023 0:39,android,247413,Roy Rogers - Remastered 2014,Elton John,Goodbye Yellow Brick Road - Remastered,trackdone,trackdone,TRUE,FALSE
3e6rEdPXVBXRhppmKiwsh7,11/11/2023 1:00,android,270760,Gimme Shelter,The Rolling Stones,Let It Bleed,trackdone,trackdone,TRUE,FALSE
6LgJvl0Xdtc73RJ1mmpotq,11/11/2023 1:07,android,387213,Paranoid Android,Radiohead,OK Computer,trackdone,trackdone,TRUE,FALSE
12yHvSYFXI7PGzNecUvIDu,11/11/2023 1:12,android,295466,Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,Goodbye Yellow Brick Road - Remastered,trackdone,trackdone,TRUE,FALSE
6qZjm61s6u8Ead9sWxCDro,11/11/2023 1:16,android,211226,Elephant,Tame Impala,Lonerism,trackdone,trackdone,TRUE,FALSE
63T7DJ1AFDD6Bn8VzG6JE8,11/11/2023 1:33,android,202266,"Paint It, Black",The Rolling Stones,Aftermath,trackdone,trackdone,TRUE,FALSE
3Am0IbOxmvlSXro7N5iSfZ,11/11/2023 1:37,android,247320,Strawberry Fields Forever - Remastered 2009,The Beatles,Magical Mystery Tour,trackdone,trackdone,TRUE,FALSE
7kRGRp7M4VqPdNEmzGq7Qy,11/11/2023 1:45,android,318440,Morning Song,The Lumineers,The Lumineers,trackdone,trackdone,TRUE,FALSE
7pKfPomDEeI4TPT6EOYjn9,11/11/2023 1:49,android,187866,Imagine - Remastered 2010,John Lennon,Imagine,trackdone,trackdone,TRUE,FALSE
0WZZJ0mDKIkLfL0710ssZt,11/11/2023 2:03,android,237782,Neighborhood #1 (Tunnels),Arcade Fire,Funeral,trackdone,logout,TRUE,FALSE
0WZZJ0mDKIkLfL0710ssZt,11/11/2023 2:14,android,51829,Neighborhood #1 (Tunnels),Arcade Fire,Funeral,appload,trackdone,TRUE,FALSE
0RILico3Gbl5jxSNg3zLrJ,11/11/2023 2:18,android,228146,Dig Down,Muse,Simulation Theory,trackdone,trackdone,TRUE,FALSE
0gTRROuntlrPQ64W3J2Etv,11/11/2023 2:21,android,230626,Electioneering,Radiohead,OK Computer,trackdone,trackdone,TRUE,FALSE
6YU1CWbu43zkv21W0FyN10,11/11/2023 2:29,android,217746,I Live for You (2014 Remaster),George Harrison,All Things Must Pass,trackdone,trackdone,TRUE,FALSE
0LtOwyZoSNZKJWHqjzADpW,11/11/2023 2:33,android,192960,Feels Like We Only Go Backwards,Tame Impala,Lonerism,trackdone,trackdone,TRUE,FALSE
0hKRSZhUGEhKU6aNSPBACZ,11/11/2023 2:47,android,337413,A Day In The Life - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,trackdone,trackdone,TRUE,FALSE
51wUFdgpNsV8cVzu7i6N0l,11/11/2023 3:00,android,314573,Nos Queda Mucho Dolor Por Recorrer,Ed Maverick,Nos Queda Mucho Dolor Por Recorrer,trackdone,trackdone,TRUE,FALSE
3y4Uza6K58JXQ7RYya8ZI5,11/11/2023 3:17,android,283025,Shelter from the Storm,Bob Dylan,Blood On The Tracks,trackdone,logout,TRUE,FALSE
714hERk9U1W8FMYkoC83CO,11/11/2023 6:05,android,244920,You Sexy Thing,Hot Chocolate,Hot Chocolate,clickrow,trackdone,TRUE,FALSE
47BBI51FKFwOMlIiX6m8ya,11/11/2023 6:08,android,213306,I Want It That Way,Backstreet Boys,Millennium,trackdone,trackdone,TRUE,FALSE
3NlLmKBJozwoi0k03Feb1N,11/11/2023 6:15,android,235138,Isn't She Lovely,Stevie Wonder,The Definitive Collection,trackdone,trackdone,TRUE,FALSE
714hERk9U1W8FMYkoC83CO,11/11/2023 6:22,android,432903,You Sexy Thing,Hot Chocolate,Hot Chocolate,trackdone,trackdone,TRUE,FALSE
08sbpioHxwU7zyyMvmC8A9,11/11/2023 6:22,android,1003,Sara' Perche Ti Amo,Ricchi E Poveri,Ricchi E Poveri - Grandi Successi,trackdone,backbtn,TRUE,TRUE
3NlLmKBJozwoi0k03Feb1N,11/11/2023 6:22,android,7180,Isn't She Lovely,Stevie Wonder,The Definitive Collection,backbtn,endplay,TRUE,TRUE
714hERk9U1W8FMYkoC83CO,11/11/2023 6:36,android,811104,You Sexy Thing,Hot Chocolate,Hot Chocolate,clickrow,trackdone,TRUE,FALSE
